Pay Date,Dividendo,Precio,Dividend Yield
22-ago-24,172,45526,0.377806%
22-oct-24,172,45587,0.377301%
20-dic-24,172,45646,0.376813%
21-sep-23,172,45190,0.380615%
21-dic-23,172,45281,0.379850%
21-jun-23,172,45098,0.381392%
21-dic-22,23,44916,0.051207%
21-nov-22,23,44886,0.051241%
21-jul-22,23,44763,0.051382%
23-ene-23,23,44949,0.051169%
21-feb-23,23,44978,0.051136%
22-ago-22,23,44795,0.051345%
21-sep-22,23,44825,0.051311%
21-abr-22,23,44672,0.051486%
21-oct-22,120,44855,0.267529%
21-jun-22,23,44733,0.051416%
21-abr-22,120,44672,0.268625%
23-may-22,23,44704,0.051450%
21-mar-23,23,45006,0.051104%
21-oct-22,23,44855,0.051276%
21-ene-22,21,44582,0.047104%
21-abr-21,105,44307,0.236983%
23-ago-21,21,44431,0.047264%
21-jul-21,21,44398,0.047299%
21-feb-22,21,44613,0.047071%
21-oct-21,105,44490,0.236008%
21-may-21,21,44337,0.047365%
21-dic-21,21,44551,0.047137%
21-oct-21,21,44490,0.047202%
21-abr-21,21,44307,0.047397%
22-mar-22,21,44642,0.047041%
21-sep-21,21,44460,0.047233%
21-jun-21,21,44368,0.047331%
22-nov-21,41,44522,0.092089%
21-ago-20,20,44064,0.045389%
21-ene-21,20,44217,0.045231%
21-may-20,20,43972,0.045483%
21-oct-20,20,44125,0.045326%
21-jul-20,20,44033,0.045420%
23-mar-21,20,44278,0.045169%
21-dic-20,20,44186,0.045263%
22-feb-21,20,44249,0.045199%
21-sep-20,20,44095,0.045357%
21-abr-20,74,43942,0.168404%
21-oct-20,74,44125,0.167705%
23-jun-20,20,44005,0.045449%
21-abr-20,20,43942,0.045515%
23-dic-19,19,43822,0.043357%
21-oct-19,64,43759,0.146256%
21-feb-20,19,43882,0.043298%
22-abr-19,63,43577,0.144572%
21-ene-20,19,43851,0.043329%
24-mar-20,19,43914,0.043266%
22-jul-19,19,43668,0.043510%
23-sep-19,19,43731,0.043447%
22-abr-19,19,43577,0.043601%
21-jun-19,19,43637,0.043541%
21-nov-19,19,43790,0.043389%
21-ago-19,19,43698,0.043480%
21-oct-19,19,43759,0.043420%
21-may-19,19,43606,0.043572%
21-mar-19,18,43545,0.041337%
21-ene-19,18,43486,0.041393%
22-oct-18,100,43395,0.230441%
21-feb-19,18,43517,0.041363%
21-nov-18,18,43425,0.041451%
21-dic-18,18,43455,0.041422%
21-jun-18,17,43272,0.039286%
21-ago-18,17,43333,0.039231%
23-jul-18,17,43304,0.039257%
23-abr-18,122,43213,0.282322%
21-sep-18,17,43364,0.039203%
23-abr-18,17,43213,0.039340%
21-may-18,17,43241,0.039315%
21-mar-18,17,43180,0.039370%
22-ene-18,17,43122,0.039423%
23-oct-17,132,43031,0.306756%
21-dic-17,17,43090,0.039452%
21-nov-17,17,43060,0.039480%
21-feb-18,17,43152,0.039396%
21-abr-17,66,42846,0.154040%
22-may-17,16,42877,0.037316%
21-sep-17,16,42999,0.037210%
21-abr-17,16,42846,0.037343%
22-ago-17,16,42969,0.037236%
21-jun-17,16,42907,0.037290%
21-jul-17,16,42937,0.037264%
21-mar-17,69,42815,0.161158%
21-oct-16,46,42664,0.107819%
21-feb-17,16,42787,0.037395%
21-mar-17,16,42815,0.037370%
21-dic-16,16,42725,0.037449%
21-nov-16,16,42695,0.037475%
21-oct-16,16,42664,0.037502%
23-ene-17,16,42758,0.037420%
23-may-16,15,42513,0.035283%
21-sep-16,15,42634,0.035183%
22-ago-16,15,42604,0.035208%
21-abr-16,47,42481,0.110638%
21-jun-16,15,42542,0.035259%
21-jul-16,15,42572,0.035234%
21-abr-16,15,42481,0.035310%
21-oct-15,15,42298,0.035463%
21-ene-16,15,42390,0.035386%
22-mar-16,15,42451,0.035335%
23-nov-15,15,42331,0.035435%
22-feb-16,15,42422,0.035359%
21-oct-15,80,42298,0.189134%
21-dic-15,15,42359,0.035412%
