MES;Rendimientos def;;;;
1;0;;;;
2;0,005622437;;;;
3;0,003698767;;;;
4;0,004491822;;;;
5;0,00598706;;;;
6;0,005393482;;;;
7;0,005549533;;;;
8;0,002872787;;;;
9;0,002685523;;;;
10;0,002678331;;;;
11;0,00424793;;;;
12;0,003833402;;;;
13;0,00434549;;;;
14;0,009509476;;;;
15;0,002354974;;;;
16;0,002349442;;;;
17;0,009066648;;;;
18;0,002246296;;;;
19;0,002241261;;;;
20;0,009554883;;;;
21;0,002366113;;;;
22;0,002360527;;;;
23;0,00911924;;;;
24;0,002259208;;;;
25;0,002254115;;;;
26;0,004462031;;;;
27;0,004462031;;;;
28;0,004462031;;;;
29;0,004462031;;;;
30;0,004462031;;;;
31;0,004462031;;;;
32;0,004462031;;;;
33;0,004462031;;;;
34;0,004462031;;;;
35;0,004462031;;;;
36;0,004462031;;;;
37;0,004462031;;;;
38;0,004462031;;;;
39;0,004462031;;;;
40;0,004462031;;;;
41;0,004462031;;;;
42;0,004462031;;;;
43;0,004462031;;;;
44;0,004462031;;;;
45;0,004462031;;;;
46;0,004462031;;;;
47;0,004462031;;;;
48;0,004462031;;;;
49;0,004462031;;;;
50;0,004462031;;;;
51;0,004462031;;;;
52;0,004462031;;;;
53;0,004462031;;;;
54;0,004462031;;;;
55;0,004462031;;;;
56;0,004462031;;;;
57;0,004462031;;;;
58;0,004462031;;;;
59;0,004462031;;;;
60;0,004462031;;;;
